Marca temporal,¿Qué edad tienes?,Genero:,¿De qué estado de la República Mexicana eres?,¿Eres estudiante de licenciatura?,Selecciona tu área de estudio:,¿Tienes conexión a internet en tu hogar?,Selecciona los dispositivos a los que tienes disponibilidad:,Selecciona el equipo con el que MÁS accedes a internet:,¿Cuánto tiempo al día utilizas tus dispositivos aproximadamente?,Selecciona los permisos que generalmente otorgas a tus aplicaciones:,"Cuando una aplicación te pide permiso para acceder a tu ubicación, ¿cuál de las siguientes opciones utilizas MÁS?",¿Tiene software antivirus instalado en tu computadora?,"Al conectarte a internet, ¿qué tipo de conexión es la que MÁS utilizas?",¿Qué tanta confianza te da ingresar cada uno de los siguientes datos en sitios web?  [Nombre],¿Qué tanta confianza te da ingresar cada uno de los siguientes datos en sitios web?  [Correo],¿Qué tanta confianza te da ingresar cada uno de los siguientes datos en sitios web?  [Número de teléfono],¿Qué tanta confianza te da ingresar cada uno de los siguientes datos en sitios web?  [Tarjeta de crédito],¿Qué tanta confianza te da ingresar cada uno de los siguientes datos en sitios web?  [Fotografía de una identificación],¿Qué tanta confianza te da ingresar cada uno de los siguientes datos en sitios web?  [Dirección],¿Qué tanta confianza te da ingresar cada uno de los siguientes datos en sitios web?  [Fecha de nacimiento],¿Qué tan bien informado te consideras sobre el uso que se hace de la información personal que ingresas en línea?,"Al ingresar tus datos, ¿qué tanto confías en que las aplicaciones y servicios en línea les van a dar un buen uso?","Suponiendo que la página web comparta tu información con terceros, qué tan de acuerdo estás con esto",¿Sabes qué son las cookies?,"Cuando te aparece en una página web una solicitud para aceptar cookies, ¿qué haces?",Cuando te solicitan aceptar los términos y condiciones de algún sitio web  [Lees los términos y condiciones ],Cuando te solicitan aceptar los términos y condiciones de algún sitio web  [Aceptas los términos y condiciones],¿Cuáles de las siguientes redes sociales utilizas principalmente?,¿Cuánto tiempo al día utilizas tus redes sociales?,¿Cómo mantienes tus redes sociales?,¿Qué tanto te preocupa el uso que se le puede dar a tu información en redes sociales?,"Por miedo al mal uso de tu información, ¿cuáles de los siguientes datos NO ingresas en tus redes sociales?",Selecciona en cuáles de las siguientes situaciones te has encontrado:,¿Qué opinas sobre el uso de tu historial de búsqueda por parte de las páginas web para mostrarte contenido que te pueda interesar?,¿Qué porcentaje de tus compras haces en línea aproximadamente?,¿Qué tan frecuente compras en línea?,"¿Que te pidan ingresar algún dato personal, ha evitado que realices una compra?",¿Qué dato ha sido?,Selecciona en cuáles de las siguientes situaciones te has encontrado:,"Al comprar en línea, ¿qué tanta seguridad tienes con respecto a los siguientes escenarios? [Que la compra que estás realizando NO sea un fraude]","Al comprar en línea, ¿qué tanta seguridad tienes con respecto a los siguientes escenarios? [Que tu información personal NO sea robada]","Al comprar en línea, ¿qué tanta seguridad tienes con respecto a los siguientes escenarios? [Que tus datos sean tratados responsablemente]",¿Cuál de las siguientes formas de pago utilizas MÁS (en línea)?,¿Cuál de las siguientes formas de pago te da MÁS confianza?,Selecciona cuál de las siguientes opciones haría que NO compres en una tienda en línea (por miedo al mal manejo de tu información personal),¿Qué opinas de que algunas marcas ocupen tu historial de compras para mostrarte anuncios en función de él?
2021/11/25 4:23:46 p. m. GMT-6,20,Femenino,Veracruz,Sí,Ciencias Sociales y de la comunicación,Sí,Teléfono inteligente;Computadora portátil;Tablet;Consola de videojuegos,Teléfono inteligente,2 – 3 horas,Ubicación,Solo al usar,Sí,"Red privada (como datos móviles, o Wi-Fi en tu casa)",Seguro,Seguro,Poco seguro,Nada seguro,Nada seguro,Nada seguro,Seguro,3,2,2,Sí,Las aceptas,Nunca,Siempre,Facebook;Instagram;Twitter;WhatsApp;TikTok,1 – 2 horas,Públicas,3,Correo;Número de teléfono;Dirección,Ninguno,Estoy en desacuerdo,1% a 20%,Una vez al mes,Sí,Fotografía de una identificación,Ninguno,Seguro,Poco seguro,Poco seguro,"Efectivo en puntos de pago (Oxxo, 7eleven, ...)","Efectivo en puntos de pago (Oxxo, 7eleven, ...)","Que la página web no esté certificada digitalmente, es decir, que no tenga el candado en la barra de direcciones (imagen mostrada en la parte superior);Haber tenido una mala experiencia con esa plataforma;Haber escuchado una mala experiencia de un amigo",Estoy en desacuerdo
2021/11/25 4:24:28 p. m. GMT-6,19,Femenino,Ciudad de México,Sí,Ingenierías,Sí,Teléfono inteligente;Computadora portátil;Tablet;Consola de videojuegos,Teléfono inteligente,6 – 8 horas,Ubicación,Siempre,Sí,"Red privada (como datos móviles, o Wi-Fi en tu casa)",Muy seguro,Seguro,Poco seguro,Poco seguro,Seguro,Nada seguro,Muy seguro,2,3,1,Sí,Las aceptas,Nunca,Siempre,Instagram;WhatsApp,1 – 2 horas,Privadas,2,Dirección,Robo de contraseñas;Accesos no autorizados a tus redes sociales,Me es indiferente,1% a 20%,Una vez al mes,No sé,,Ninguno,Completamente seguro,Seguro,Seguro,Tarjeta digital,Tarjeta digital,"Que la página web no esté certificada digitalmente, es decir, que no tenga el candado en la barra de direcciones (imagen mostrada en la parte superior)",Me es indiferente
2021/11/25 4:25:12 p. m. GMT-6,19,Masculino,Morelos,Sí,Ciencias Sociales y de la comunicación,Sí,Teléfono inteligente;Computadora de escritorio;Computadora portátil;Tablet;Consola de videojuegos,Teléfono inteligente,Más de 8 horas,Cámara;Micrófono;Ubicación;Galería (Fotos),Solo al usar,No,"Red privada (como datos móviles, o Wi-Fi en tu casa)",Seguro,Seguro,Seguro,Nada seguro,Nada seguro,Poco seguro,Seguro,2,2,2,Sí,Las aceptas,Nunca,Casi siempre,Instagram;Twitter;WhatsApp,2 – 3 horas,Privadas,3,Dirección,Extorsión por teléfono;Extorsión por mensaje (correo);Robo de contraseñas;Acoso o bullying en tus redes sociales,Estoy de acuerdo,21% a 40%,Una vez a la semana,Sí,Fotografía de una identificación,Cargos sin autorizar,Seguro,Poco seguro,Nada seguro,Tarjeta de crédito/débito,Paypal/Apple Pay,Haber tenido una mala experiencia con esa plataforma;Haber escuchado una mala experiencia de un amigo;Que la página web no tenga estructura estética,Estoy de acuerdo
2021/11/25 4:25:43 p. m. GMT-6,22,Masculino,Ciudad de México,Sí,Ingenierías,Sí,Teléfono inteligente;Computadora portátil;Consola de videojuegos,Computadora portátil,6 – 8 horas,Cámara;Galería (Fotos),Solo al usar,Sí,"Red privada (como datos móviles, o Wi-Fi en tu casa)",Nada seguro,Nada seguro,Nada seguro,Nada seguro,Nada seguro,Nada seguro,Nada seguro,2,2,1,Sí,No las aceptas,Casi nunca,Casi siempre,Facebook;Instagram;WhatsApp,2 – 3 horas,Públicas,1,Dirección,Extorsión por teléfono,Estoy en desacuerdo,21% a 40%,Una vez al mes,No sé,,Cargos sin autorizar,Seguro,Seguro,Nada seguro,Paypal/Apple Pay,Paypal/Apple Pay,"Que la página web no esté certificada digitalmente, es decir, que no tenga el candado en la barra de direcciones (imagen mostrada en la parte superior);Haber tenido una mala experiencia con esa plataforma;Haber escuchado una mala experiencia de un amigo",Estoy en desacuerdo
2021/11/25 4:25:43 p. m. GMT-6,22,Femenino,Ciudad de México,Sí,Ingenierías,Sí,Teléfono inteligente;Computadora de escritorio;Computadora portátil;Tablet;Consola de videojuegos,Teléfono inteligente,3 – 5 horas,Cámara;Micrófono;Galería (Fotos);Contactos,Solo al usar,Sí,"Red privada (como datos móviles, o Wi-Fi en tu casa)",Seguro,Seguro,Nada seguro,Poco seguro,Poco seguro,Poco seguro,Seguro,3,2,2,Sí,Las configuras,Casi nunca,Siempre,Instagram;WhatsApp;TikTok,2 – 3 horas,Privadas,2,Número de teléfono;Edad;Dirección,Ninguno,Me es indiferente,41% a 60%,Una vez a la semana,No sé,,Ninguno,Seguro,Seguro,Poco seguro,Paypal/Apple Pay,Paypal/Apple Pay,"Que la página web no esté certificada digitalmente, es decir, que no tenga el candado en la barra de direcciones (imagen mostrada en la parte superior);No haber escuchado de la página web;Haber tenido una mala experiencia con esa plataforma;Haber escuchado una mala experiencia de un amigo;Que la página web no tenga estructura estética",Me es indiferente
2021/11/25 4:30:50 p. m. GMT-6,19,Masculino,Ciudad de México,Sí,Ingenierías,Sí,Teléfono inteligente;Computadora de escritorio;Consola de videojuegos,Teléfono inteligente,3 – 5 horas,Micrófono;Ubicación;Galería (Fotos);Contactos,Siempre,No,"Red privada (como datos móviles, o Wi-Fi en tu casa)",Seguro,Seguro,Seguro,Poco seguro,Seguro,Seguro,Seguro,1,1,3,No,Las aceptas,Casi nunca,Siempre,Facebook;Instagram;WhatsApp,3 – 5 horas,Privadas,2,Ninguno,Extorsión por teléfono;Extorsión por mensaje (correo);Robo de contraseñas;Accesos no autorizados a tus redes sociales,Me es indiferente,21% a 40%,Una vez al mes,No,,Ninguno,Poco seguro,Nada seguro,Nada seguro,Tarjeta de crédito/débito,Tarjeta de crédito/débito,Haber escuchado una mala experiencia de un amigo,Me es indiferente
2021/11/25 4:31:08 p. m. GMT-6,21,Masculino,Aguascalientes,Sí,Ciencias Puras,Sí,Teléfono inteligente;Computadora de escritorio,Teléfono inteligente,6 – 8 horas,Cámara;Micrófono;Ubicación;Galería (Fotos),Solo al usar,Sí,"Red privada (como datos móviles, o Wi-Fi en tu casa)",Seguro,Seguro,Poco seguro,Nada seguro,Nada seguro,Poco seguro,Muy seguro,3,3,3,No,Las aceptas,Nunca,Siempre,Facebook;Instagram;Twitter;WhatsApp,3 – 5 horas,Privadas,3,Número de teléfono;Dirección,Extorsión por mensaje (correo),Estoy de acuerdo,21% a 40%,Una vez a la semana,Sí,Fotografía de una identificación,Ninguno,Seguro,Seguro,Poco seguro,Tarjeta de crédito/débito,Paypal/Apple Pay,"Que la página web no esté certificada digitalmente, es decir, que no tenga el candado en la barra de direcciones (imagen mostrada en la parte superior);Haber tenido una mala experiencia con esa plataforma;Haber escuchado una mala experiencia de un amigo;Que la página web no tenga estructura estética",Estoy de acuerdo
2021/11/25 4:32:00 p. m. GMT-6,21,Femenino,Ciudad de México,Sí,Ciencias Sociales y de la comunicación,Sí,Teléfono inteligente;Computadora portátil;Tablet;Consola de videojuegos,Computadora de escritorio,Más de 8 horas,Cámara;Micrófono;Ubicación;Galería (Fotos);Contactos,Solo al usar,Sí,"Red privada (como datos móviles, o Wi-Fi en tu casa)",Poco seguro,Seguro,Nada seguro,Nada seguro,Nada seguro,Nada seguro,Seguro,3,3,2,No,Las configuras,Nunca,Siempre,Facebook;Instagram;Twitter;WhatsApp,2 – 3 horas,Privadas,3,Número de teléfono;Dirección,Extorsión por teléfono;Accesos no autorizados a tus redes sociales,Estoy en desacuerdo,21% a 40%,Una vez al mes,Sí,Fecha de nacimiento,Cargos sin autorizar;Fraude en alguna compra,Poco seguro,Seguro,Poco seguro,Paypal/Apple Pay,Paypal/Apple Pay,"Que la página web no esté certificada digitalmente, es decir, que no tenga el candado en la barra de direcciones (imagen mostrada en la parte superior);No haber escuchado de la página web;Haber tenido una mala experiencia con esa plataforma;Haber escuchado una mala experiencia de un amigo;Que la página web no tenga estructura estética",Estoy en desacuerdo
2021/11/25 4:32:15 p. m. GMT-6,19,Femenino,Colima,Sí,Ciencias Sociales y de la comunicación,Sí,Teléfono inteligente;Computadora portátil;Tablet,Teléfono inteligente,3 – 5 horas,Micrófono;Ubicación;Galería (Fotos),Solo al usar,Sí,"Red privada (como datos móviles, o Wi-Fi en tu casa)",Seguro,Seguro,Seguro,Seguro,Nada seguro,Poco seguro,Seguro,1,3,1,No,Las aceptas,Nunca,Siempre,Facebook;Instagram;Twitter;WhatsApp,1 – 2 horas,Privadas,4,Dirección,Ninguno,Estoy en desacuerdo,21% a 40%,Una vez al mes,No,,Ninguno,Seguro,Seguro,Seguro,Tarjeta de crédito/débito,Tarjeta digital,"Que la página web no esté certificada digitalmente, es decir, que no tenga el candado en la barra de direcciones (imagen mostrada en la parte superior);No haber escuchado de la página web;Haber tenido una mala experiencia con esa plataforma;Haber escuchado una mala experiencia de un amigo;Que la página web no tenga estructura estética",Estoy en desacuerdo
2021/11/25 4:37:35 p. m. GMT-6,20,Masculino,Ciudad de México,Sí,Ingenierías,Sí,Teléfono inteligente;Computadora portátil,Teléfono inteligente,Más de 8 horas,Cámara;Micrófono;Galería (Fotos),Solo al usar,Sí,"Red privada (como datos móviles, o Wi-Fi en tu casa)",Muy seguro,Seguro,Poco seguro,Nada seguro,Nada seguro,Poco seguro,Muy seguro,1,2,2,No,Las aceptas,Nunca,Casi siempre,Facebook;Instagram;WhatsApp;Aplicaciones de citas,1 – 2 horas,Privadas,4,Nombre;Edad;Dirección,Extorsión por teléfono;Accesos no autorizados a tus redes sociales;Acoso o bullying en tus redes sociales,Estoy en desacuerdo,1% a 20%,Una vez al año,Sí,Fotografía de una identificación,Ninguno,Seguro,Seguro,Poco seguro,Tarjeta de crédito/débito,Tarjeta de crédito/débito,"Que la página web no esté certificada digitalmente, es decir, que no tenga el candado en la barra de direcciones (imagen mostrada en la parte superior);No haber escuchado de la página web;Haber tenido una mala experiencia con esa plataforma;Haber escuchado una mala experiencia de un amigo",Estoy de acuerdo
2021/11/25 4:37:50 p. m. GMT-6,20,Masculino,Aguascalientes,Sí,Ingenierías,Sí,Teléfono inteligente;Computadora portátil;Tablet;Consola de videojuegos;Otro,Computadora portátil,3 – 5 horas,Cámara;Micrófono;Galería (Fotos),Solo al usar,No,"Red privada (como datos móviles, o Wi-Fi en tu casa)",Muy seguro,Muy seguro,Seguro,Poco seguro,Poco seguro,Seguro,Seguro,3,3,1,No,Las aceptas,Casi nunca,Casi siempre,Facebook;Instagram;WhatsApp,1 – 2 horas,Privadas,3,Edad;Dirección,Ninguno,Me es indiferente,41% a 60%,Una vez al mes,No,,Ninguno,Seguro,Seguro,Seguro,Tarjeta digital,Tarjeta digital,"Que la página web no esté certificada digitalmente, es decir, que no tenga el candado en la barra de direcciones (imagen mostrada en la parte superior);No haber escuchado de la página web;Haber tenido una mala experiencia con esa plataforma;Haber escuchado una mala experiencia de un amigo",Estoy en desacuerdo
2021/11/25 4:38:35 p. m. GMT-6,19,Femenino,Ciudad de México,Sí,Ciencias Sociales y de la comunicación,Sí,Teléfono inteligente;Computadora de escritorio;Computadora portátil;Tablet;Consola de videojuegos,Teléfono inteligente,Más de 8 horas,Cámara;Micrófono;Ubicación;Galería (Fotos);Contactos,Nunca,Sí,"Red privada (como datos móviles, o Wi-Fi en tu casa)",Seguro,Seguro,Seguro,Nada seguro,Nada seguro,Nada seguro,Seguro,1,3,1,Sí,Las aceptas,Siempre,Casi siempre,Facebook;Instagram;Twitter;WhatsApp;TikTok,1 – 2 horas,Privadas,4,Número de teléfono;Edad;Dirección,Extorsión por teléfono;Extorsión por mensaje (correo),Estoy en desacuerdo,81% a 99%,Varias veces a la semana,Sí,Tarjeta de crédito,Cargos sin autorizar;Fraude en alguna compra;Robo de indentidad,Poco seguro,Poco seguro,Poco seguro,Tarjeta de crédito/débito,"Efectivo en puntos de pago (Oxxo, 7eleven, ...)","Que la página web no esté certificada digitalmente, es decir, que no tenga el candado en la barra de direcciones (imagen mostrada en la parte superior);No haber escuchado de la página web;Haber tenido una mala experiencia con esa plataforma;Haber escuchado una mala experiencia de un amigo;Que la página web no tenga estructura estética",Estoy en desacuerdo
2021/11/25 4:42:23 p. m. GMT-6,19,Masculino,Ciudad de México,Sí,Ciencias Puras,Sí,Teléfono inteligente;Computadora de escritorio;Computadora portátil;Tablet;Consola de videojuegos;Otro,Computadora portátil,Más de 8 horas,Cámara;Micrófono;Ubicación;Galería (Fotos);Contactos,Solo al usar,Sí,"Red privada (como datos móviles, o Wi-Fi en tu casa)",Seguro,Seguro,Seguro,Poco seguro,Poco seguro,Poco seguro,Seguro,3,1,2,Sí,No las aceptas,Casi siempre,Casi siempre,WhatsApp,Menos de 1 hora,Privadas,2,Correo;Edad;Dirección,Extorsión por teléfono,Me es indiferente,41% a 60%,Una vez al mes,No,,Ninguno,Seguro,Poco seguro,Poco seguro,Tarjeta digital,Tarjeta digital,"Que la página web no esté certificada digitalmente, es decir, que no tenga el candado en la barra de direcciones (imagen mostrada en la parte superior);No haber escuchado de la página web;Haber tenido una mala experiencia con esa plataforma;Haber escuchado una mala experiencia de un amigo",Me es indiferente
2021/11/25 4:43:39 p. m. GMT-6,20,Femenino,Ciudad de México,Sí,Ciencias Sociales y de la comunicación,Sí,Teléfono inteligente;Computadora portátil;Tablet;Consola de videojuegos,Teléfono inteligente,6 – 8 horas,Cámara;Micrófono;Ubicación,Solo al usar,Sí,"Red privada (como datos móviles, o Wi-Fi en tu casa)",Nada seguro,Seguro,Nada seguro,Nada seguro,Nada seguro,Poco seguro,Nada seguro,3,3,1,Sí,Las configuras,Siempre,Casi siempre,Instagram;WhatsApp;TikTok,2 – 3 horas,Privadas,4,Número de teléfono;Edad;Dirección,Extorsión por mensaje (correo);Acoso o bullying en tus redes sociales,Me es indiferente,1% a 20%,Una vez al año,Sí,Número de teléfono,Ninguno,Seguro,Seguro,Poco seguro,Paypal/Apple Pay,Paypal/Apple Pay,"Que la página web no esté certificada digitalmente, es decir, que no tenga el candado en la barra de direcciones (imagen mostrada en la parte superior);No haber escuchado de la página web;Haber escuchado una mala experiencia de un amigo;Que la página web no tenga estructura estética",Estoy en desacuerdo
2021/11/25 4:45:20 p. m. GMT-6,20,Masculino,Aguascalientes,Sí,Ingenierías,Sí,Teléfono inteligente;Computadora portátil;Consola de videojuegos;Otro,Teléfono inteligente,3 – 5 horas,Galería (Fotos);Contactos,Solo al usar,Sí,"Red privada (como datos móviles, o Wi-Fi en tu casa)",Muy seguro,Muy seguro,Muy seguro,Nada seguro,Poco seguro,Poco seguro,Muy seguro,3,2,3,Sí,Las configuras,Casi nunca,Casi siempre,Facebook;Instagram;Twitter;WhatsApp,2 – 3 horas,Privadas,2,Edad;Dirección,Ninguno,Me es indiferente,1% a 20%,Una vez al año,No sé,,Ninguno,Seguro,Poco seguro,Nada seguro,Tarjeta de crédito/débito,Paypal/Apple Pay,"Que la página web no esté certificada digitalmente, es decir, que no tenga el candado en la barra de direcciones (imagen mostrada en la parte superior);No haber escuchado de la página web;Haber tenido una mala experiencia con esa plataforma;Haber escuchado una mala experiencia de un amigo;Que la página web no tenga estructura estética",Me es indiferente
2021/11/25 4:45:42 p. m. GMT-6,22,Femenino,Ciudad de México,Sí,Ciencias Puras,Sí,Teléfono inteligente;Computadora portátil,Teléfono inteligente,6 – 8 horas,Cámara;Micrófono;Ubicación;Galería (Fotos),Solo al usar,Sí,"Red privada (como datos móviles, o Wi-Fi en tu casa)",Poco seguro,Poco seguro,Poco seguro,Poco seguro,Nada seguro,Nada seguro,Poco seguro,3,3,1,Sí,Las configuras,Casi siempre,Casi siempre,Instagram;Twitter;WhatsApp,2 – 3 horas,Privadas,4,Correo;Número de teléfono;Dirección,Extorsión por teléfono,Me es indiferente,21% a 40%,Una vez al mes,No,,Cargos sin autorizar,Poco seguro,Poco seguro,Poco seguro,Tarjeta digital,Transferencia bancaria,"Que la página web no esté certificada digitalmente, es decir, que no tenga el candado en la barra de direcciones (imagen mostrada en la parte superior)",Me es indiferente
