FechaEnc,Edad,Genero,Estado
2021/11/25 6:07:23 p. m. GMT-6,17,Femenino,Aguascalientes
2021/11/26 10:43:12 a. m. GMT-6,20,Femenino,Chiapas
2021/11/27 9:59:44 a. m. GMT-6,30,Femenino,Ciudad de Mexico
2021/11/28 4:37:48 p. m. GMT-6,21,Masculino,Aguascalientes
2021/11/29 2:06:48 p. m. GMT-6,24,Masculino,Ciudad de Mexico
2021/11/29 4:02:09 p. m. GMT-6,24,Femenino,Aguascalientes
2021/11/29 4:46:27 p. m. GMT-6,30,Masculino,Aguascalientes
2021/11/29 4:57:46 p. m. GMT-6,30,Masculino,Zacatecas
2021/11/29 5:53:58 p. m. GMT-6,18,Masculino,Aguascalientes
2021/11/29 6:36:24 p. m. GMT-6,23,Masculino,Aguascalientes
2021/11/29 6:37:25 p. m. GMT-6,23,Masculino,Aguascalientes
2021/11/29 8:15:40 p. m. GMT-6,30,Femenino,Aguascalientes
2021/11/29 11:27:40 p. m. GMT-6,21,Femenino,Sonora
