FechaEnc,Edad,Genero,Estado,AreaEst,InternetHogar,DispMas,TiempoDisp,OpcionUbi,Antivirus,TipoConex,ConfNombre,ConfCorreo,ConfTel,ConfTarjeta,ConfId,ConfDir,ConfFecha,Informado,Confiado,InfoTerceros,SaberCookies,HacerACookies,LeerTerm,AceptarTerm,TiempoRedes,TipoRedes,PreocRedes,HistRedes,PorcEcom,FrecEcom,DatoNoEcom,ConfNoFraude,ConfNoRobo,ConfBienDatos,MasPago,ConfPago,HisEcom,DispTel,DispCom,DispLap,DispTab,DispVid,DispOtr,DispNin,PermCam,PermMic,PermUbi,PermGal,PermCon,PermNin,Facebook,Instagram,Twitter,WhatsApp,TikTok,Citas,AppNinguna,RedNom,RedCor,RedNum,RedEda,RedDir,RedNin,ExtTel,ExtCor,RoboCon,NoAcce,Acoso,SitRedNin,SinCargo,Fraude,RoboID,SitEcomNin,NoCert,NoEsc,MalExp,MalExpAm,NoEst,NoComNin
2021/11/25 4:23:46 p. m. GMT-6,20,Femenino,Veracruz,4,True,1,2.5,Solo al usar,True,Privada,2,2,1,0,0,0,2,2.0,1.0,1.0,True,Las aceptas,0,3,1.5,Publicas,2.0,Estoy en desacuerdo,0.105,Una vez al mes,7,2,1,1,5,5,Estoy en desacuerdo,True,False,True,True,True,False,False,False,False,True,False,False,False,True,True,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False
2021/11/25 4:24:28 p. m. GMT-6,19,Femenino,Ciudad de Mexico,3,True,1,7,Siempre,True,Privada,3,2,1,1,2,0,3,1.0,2.0,0.0,True,Las aceptas,0,3,1.5,Privadas,1.0,Me es indiferente,0.105,Una vez al mes,9,3,2,2,4,4,Me es indiferente,True,False,True,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False
2021/11/25 4:25:12 p. m. GMT-6,19,Masculino,Morelos,4,True,1,9,Solo al usar,False,Privada,2,2,2,0,0,1,2,1.0,1.0,1.0,True,Las aceptas,0,2,2.5,Privadas,2.0,Estoy de acuerdo,0.305,Una vez a la semana,7,2,1,0,1,3,Estoy de acuerdo,True,True,True,True,True,False,False,True,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,True,False,True,False,False,False,False,False,True,True,True,False
2021/11/25 4:25:43 p. m. GMT-6,22,Masculino,Ciudad de Mexico,3,True,3,7,Solo al usar,True,Privada,0,0,0,0,0,0,0,1.0,1.0,0.0,True,No las aceptas,1,2,2.5,Publicas,0.0,Estoy en desacuerdo,0.305,Una vez al mes,9,2,2,0,3,3,Estoy en desacuerdo,True,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False
2021/11/25 4:25:43 p. m. GMT-6,22,Femenino,Ciudad de Mexico,3,True,1,4,Solo al usar,True,Privada,2,2,0,1,1,1,2,2.0,1.0,1.0,True,Las configuras,1,3,2.5,Privadas,1.0,Me es indiferente,0.505,Una vez a la semana,9,2,2,1,3,3,Me es indiferente,True,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False
2021/11/25 4:30:50 p. m. GMT-6,19,Masculino,Ciudad de Mexico,3,True,1,4,Siempre,False,Privada,2,2,2,1,2,2,2,0.0,0.0,2.0,False,Las aceptas,1,3,4,Privadas,1.0,Me es indiferente,0.305,Una vez al mes,9,1,0,0,1,1,Me es indiferente,True,True,False,False,True,False,False,False,True,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False
2021/11/25 4:31:08 p. m. GMT-6,21,Masculino,Aguascalientes,1,True,1,7,Solo al usar,True,Privada,2,2,1,0,0,1,3,2.0,2.0,2.0,False,Las aceptas,0,3,4,Privadas,2.0,Estoy de acuerdo,0.305,Una vez a la semana,7,2,2,1,1,3,Estoy de acuerdo,True,True,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,True,False
2021/11/25 4:32:00 p. m. GMT-6,21,Femenino,Ciudad de Mexico,4,True,2,9,Solo al usar,True,Privada,1,2,0,0,0,0,2,2.0,2.0,1.0,False,Las configuras,0,3,2.5,Privadas,2.0,Estoy en desacuerdo,0.305,Una vez al mes,8,1,2,1,3,3,Estoy en desacuerdo,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,True,False,False,True,True,True,True,True,False
2021/11/25 4:32:15 p. m. GMT-6,19,Femenino,Colima,4,True,1,4,Solo al usar,True,Privada,2,2,2,2,0,1,2,0.0,2.0,0.0,False,Las aceptas,0,3,1.5,Privadas,3.0,Estoy en desacuerdo,0.305,Una vez al mes,9,2,2,2,1,4,Estoy en desacuerdo,True,False,True,True,False,False,False,False,True,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False
2021/11/25 4:37:35 p. m. GMT-6,20,Masculino,Ciudad de Mexico,3,True,1,9,Solo al usar,True,Privada,3,2,1,0,0,1,3,0.0,1.0,1.0,False,Las aceptas,0,2,1.5,Privadas,3.0,Estoy en desacuerdo,0.105,Una vez al anio,7,2,2,1,1,1,Estoy de acuerdo,True,False,True,False,False,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,True,True,True,True,False,False
